Round,Case,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,TargetX,TargetY,TargetZ
1,1,0.109733,0.910709,0.1114368,0.09320422,0.948696,0.1392467,0.06486392,0.9285355,0.1295595,0.03982586,0.937564,0.1505618,0.02031503,0.9518753,0.1761808,0.005868264,0.9601032,0.1957464,0.05510172,0.9847776,0.1584644,0.03150614,1.000449,0.1860671,0.01634661,0.9993466,0.2063475,0.003859393,0.9963109,0.2258396,0.07667539,0.986683,0.1670566,0.05614344,1.008793,0.2001238,0.04192497,0.9935485,0.2198925,0.03316253,0.9704771,0.2282696,0.09406086,0.9776158,0.1763239,0.08168794,1.002785,0.20577,0.0649538,0.9899169,0.2237215,0.05281384,0.9679185,0.2276044,0.1098161,0.9634213,0.1846471,0.1023562,0.983399,0.2085533,0.08789475,0.9761539,0.2222281,0.07211125,0.9596556,0.2239518,0.002420568,1.047427,0.3615318
1,1,0.1095423,0.911011,0.1114335,0.09302053,0.9490291,0.1392052,0.06464482,0.9290259,0.1292977,0.03947251,0.93853,0.1499267,0.01980559,0.9532612,0.1751857,0.00518474,0.9618009,0.1944861,0.05497216,0.9852636,0.1582417,0.03127603,1.001185,0.1856141,0.01593477,1.000373,0.2057705,0.003249489,0.9976147,0.2251759,0.07649878,0.9870471,0.1669769,0.05582945,1.008994,0.2000666,0.04168447,0.9928956,0.2192001,0.0335418,0.9690822,0.2259731,0.093779,0.9778777,0.1763396,0.08129615,1.002875,0.2058859,0.06446162,0.98938,0.2232747,0.05278172,0.9669451,0.225852,0.1094099,0.963591,0.1847391,0.1018369,0.9834877,0.2086768,0.08719657,0.9759561,0.222002,0.07164678,0.9591663,0.2227693,0.002420568,1.047427,0.3615318
1,1,0.1093584,0.9112951,0.1114607,0.09291852,0.949329,0.1392591,0.0644931,0.9294306,0.1292839,0.0392798,0.939454,0.1496143,0.01956776,0.9546564,0.1745572,0.004848436,0.9635464,0.1936235,0.05495915,0.9856604,0.1582885,0.03126151,1.001769,0.1855502,0.0158409,1.001245,0.2056561,0.003058471,0.9987703,0.2250357,0.07647862,0.987363,0.1670575,0.05573469,1.008954,0.2003345,0.04183638,0.9919141,0.2188225,0.03446116,0.9674521,0.2239671,0.09371556,0.9781256,0.1764336,0.08116023,1.002834,0.2061911,0.06435998,0.9886245,0.2230353,0.05324901,0.965793,0.2243228,0.1092881,0.9637774,0.1848359,0.1016459,0.9835311,0.2088704,0.08691145,0.9756632,0.2218938,0.07165755,0.9585872,0.2217789,0.002420568,1.047427,0.3615318
1,1,0.1086761,0.9114569,0.1100717,0.09240519,0.9493542,0.138155,0.06390845,0.9295644,0.1281672,0.03862334,0.9404736,0.1479449,0.01886235,0.9564676,0.172348,0.003962062,0.9659438,0.1909866,0.05457979,0.9856381,0.1575389,0.03093224,1.00216,0.1845956,0.01541515,1.002407,0.2046323,0.00249555,1.000692,0.2240028,0.07613426,0.9872514,0.1662383,0.05548202,1.008552,0.1997585,0.04145651,0.9919193,0.2185202,0.03368793,0.9677042,0.2242236,0.09338927,0.9779288,0.1754956,0.08083415,1.002165,0.2056394,0.06411809,0.9876308,0.2222891,0.05314699,0.9647113,0.2231359,0.1089674,0.9635041,0.1837564,0.1013053,0.9829452,0.2080379,0.08657272,0.9747344,0.22085,0.07147587,0.9575295,0.2202477,0.002420568,1.047427,0.3615318
1,1,0.108479,0.9114012,0.1090484,0.09260864,0.9492702,0.1373975,0.06395604,0.9295741,0.1276741,0.03877834,0.9411459,0.1472106,0.01918337,0.9577354,0.171349,0.004300989,0.9676552,0.1897697,0.05508629,0.9855995,0.157279,0.0315724,1.002647,0.1841254,0.01605456,1.003738,0.2041335,0.003092721,1.002901,0.2235336,0.07673824,0.9871394,0.1657467,0.05639143,1.008271,0.1995597,0.04278466,0.9908593,0.2179184,0.03581078,0.9661109,0.222177,0.09407014,0.9777525,0.1747932,0.08166783,1.001558,0.2053404,0.06530556,0.9857017,0.2211118,0.05547377,0.9622885,0.2198682,0.1097018,0.9632701,0.1828489,0.1021802,0.9824737,0.2073622,0.08746251,0.9734741,0.2196512,0.07304147,0.9558123,0.2175593,0.002420568,1.047427,0.3615318
1,1,0.1082503,0.911432,0.1088347,0.09230086,0.9494823,0.1368954,0.0636784,0.9297087,0.1272402,0.03849675,0.9411348,0.1468577,0.01887073,0.9576293,0.1710358,0.004029803,0.9674841,0.1895247,0.05471889,0.9859264,0.1564512,0.03094205,1.002851,0.1831431,0.01530872,1.004169,0.2030473,0.002229601,1.003651,0.2223802,0.07635143,0.9875326,0.1649561,0.05541591,1.007478,0.1991282,0.04219127,0.9891115,0.2168236,0.03606246,0.9639573,0.2198153,0.09366746,0.9782141,0.1741033,0.08077977,1.001528,0.2048283,0.06451716,0.9852064,0.2202244,0.05516135,0.9616431,0.2183194,0.1092877,0.9637929,0.1822896,0.1017094,0.9831564,0.2066593,0.08693434,0.9739478,0.2187228,0.07288133,0.9560781,0.2159896,0.002420568,1.047427,0.3615318
1,1,0.1080784,0.9119279,0.108047,0.09183521,0.9507694,0.1348257,0.06328044,0.9309134,0.1251392,0.03805792,0.9429244,0.1443505,0.01840797,0.9601007,0.1680293,0.003805764,0.9705203,0.186398,0.05411294,0.9879071,0.1527376,0.02977777,1.00495,0.1788449,0.01379889,1.00659,0.1984482,0.0003690273,1.006642,0.217546,0.07559203,0.9896109,0.1616044,0.0529527,1.006706,0.1962323,0.04114496,0.9851264,0.2110729,0.03838506,0.9593109,0.2087946,0.09267811,0.9804339,0.1713099,0.07764978,1.001529,0.2026596,0.06211517,0.9821337,0.2149224,0.05608938,0.9583765,0.2081647,0.1080562,0.9661406,0.1801534,0.09937678,0.985297,0.2043185,0.0842953,0.9742452,0.2142696,0.07283572,0.955679,0.2073231,0.002420568,1.047427,0.3615318
1,1,0.1080965,0.9124165,0.1075258,0.09161918,0.9518076,0.1333413,0.06312835,0.9318923,0.1235886,0.03794092,0.9442917,0.1425982,0.01834669,0.9619285,0.1659827,0.003965937,0.9727349,0.1843028,0.05379158,0.9894189,0.1499987,0.02900381,1.006143,0.1758857,0.01281175,1.007629,0.1953259,-0.0008191392,1.007667,0.2142806,0.07514191,0.9911987,0.1591568,0.05150387,1.006909,0.1937733,0.0404617,0.9840211,0.2071729,0.03941993,0.9583883,0.2025766,0.09204039,0.9821326,0.1692863,0.07572737,1.002089,0.2007389,0.06074779,0.981257,0.211205,0.05671905,0.9578727,0.202076,0.107222,0.9679422,0.1786208,0.09765508,0.9868845,0.2026191,0.08251899,0.9748735,0.2112942,0.07276012,0.9562327,0.2022624,0.002420568,1.047427,0.3615318
1,1,0.1080662,0.9125763,0.1072063,0.09145727,0.9524302,0.1322148,0.0629966,0.9324887,0.1224275,0.03790637,0.9451782,0.1413741,0.01847193,0.9631632,0.1646261,0.004394367,0.9742717,0.183001,0.05360116,0.9904545,0.1478376,0.0285845,1.0074,0.173358,0.01222494,1.008926,0.1926541,-0.001566134,1.009021,0.2114925,0.07484837,0.9922841,0.1572232,0.05069709,1.007867,0.1915412,0.03976268,0.984738,0.2046113,0.03916705,0.9591589,0.1996508,0.09158428,0.9833031,0.1676922,0.07441749,1.002634,0.1990814,0.05975475,0.9811218,0.2085752,0.05676324,0.9580008,0.1984334,0.1065902,0.9691936,0.1774249,0.09626222,0.9879066,0.2012873,0.08112275,0.9753809,0.2091947,0.07229897,0.9567474,0.199234,0.002420568,1.047427,0.3615318
1,1,0.1074983,0.9123387,0.1065555,0.0906322,0.9528726,0.1302652,0.06224552,0.9329591,0.1202097,0.03705802,0.9463177,0.1385579,0.01758249,0.9650223,0.1612,0.003851861,0.9767548,0.1794491,0.05274203,0.9915482,0.144105,0.02736025,1.007788,0.169723,0.01085929,1.008652,0.18894,-0.003059134,1.00824,0.2076802,0.07376605,0.9934064,0.153975,0.04828858,1.00671,0.1882935,0.03838427,0.9821293,0.1993856,0.03972287,0.9571697,0.1920052,0.09015705,0.9845188,0.1650515,0.07084002,1.001146,0.1967382,0.05716861,0.9780844,0.2037482,0.05646934,0.9559178,0.1913166,0.1047911,0.9705023,0.1754613,0.09214482,0.9875041,0.1994882,0.07742563,0.9732839,0.2049427,0.07150702,0.9551965,0.1922112,0.002420568,1.047427,0.3615318
