Round,Case,LocalTargetX,LocalTargetY,LocalTargetZ,HeadX,HeadY,HeadZ,TargetX,TargetY,TargetZ
1,1,-0.4338078,1.119137,0.4875559,-0.1336193,1.208437,0.02064522,-0.4338078,1.119137,0.4875559
1,2,0.1336416,0.8871905,0.1341961,0.03755371,1.134648,0.002765723,0.1336416,0.8871905,0.1341961
1,3,-0.2671951,1.397603,0.4046892,-0.1158615,1.224021,-0.06300092,-0.2671951,1.397603,0.4046892
1,4,-0.2803661,1.209405,0.5324087,-0.132286,1.208757,-0.01721133,-0.2803661,1.209405,0.5324087
1,5,-0.1728326,0.9590604,0.4769573,-0.109002,1.191138,-0.02088255,-0.1728326,0.9590604,0.4769573
1,6,-0.2852527,0.6576056,0.2516541,-0.1152663,1.118702,0.03084839,-0.2852527,0.6576056,0.2516541
1,7,0.0370121,1.570765,0.1731636,-0.06490391,1.247641,-0.16425,0.0370121,1.570765,0.1731636
1,8,0.1788554,1.53538,0.4502349,-0.05020634,1.252201,-0.02360314,0.1788554,1.53538,0.4502349
1,9,0.2361598,1.18164,0.1088576,-0.003428835,1.197909,-0.05277405,0.2361598,1.18164,0.1088576
1,10,0.04798722,1.533787,0.4722928,-0.1203646,1.239124,-0.0195794,0.04798722,1.533787,0.4722928
1,11,0.3392401,1.06781,0.2717708,0.0001017135,1.18521,-0.03273365,0.3392401,1.06781,0.2717708
1,12,-0.000490427,0.8219908,0.2672455,-0.07362554,1.13407,-0.0067868,-0.000490427,0.8219908,0.2672455
1,13,-0.2290556,1.073651,0.5101556,-0.1339037,1.196601,-0.02269086,-0.2290556,1.073651,0.5101556
1,14,0.1644161,0.9665775,0.6595654,-0.04560525,1.186364,0.07958759,0.1644161,0.9665775,0.6595654
1,15,-0.2234473,0.6042861,0.2765488,-0.1917527,1.111213,-0.01242073,-0.2234473,0.6042861,0.2765488
1,16,0.2787503,0.9303756,0.1134713,0.02088074,1.142704,-0.0702239,0.2787503,0.9303756,0.1134713
1,17,-0.3274872,1.277394,0.4488603,-0.1855203,1.199894,-0.06333274,-0.3274872,1.277394,0.4488603
1,18,0.4079338,1.207187,0.5201337,0.02380283,1.201012,0.0541888,0.4079338,1.207187,0.5201337
1,19,-0.02191448,0.6647274,0.1237303,-0.04178135,1.08615,0.01917804,-0.02191448,0.6647274,0.1237303
1,20,0.01971447,1.460314,0.1386683,-0.1115871,1.216808,-0.1884512,0.01971447,1.460314,0.1386683
1,21,-0.4649346,0.9720494,0.31235,-0.1977815,1.170063,-0.01104771,-0.4649346,0.9720494,0.31235
1,22,-0.03692365,1.049512,0.4843454,-0.0135592,1.191693,0.08966548,-0.03692365,1.049512,0.4843454
1,23,-0.3137767,0.9765193,0.3525885,-0.1176446,1.171585,0.09011853,-0.3137767,0.9765193,0.3525885
1,24,0.1400192,1.161644,0.3162959,0.01861636,1.203941,0.02920024,0.1400192,1.161644,0.3162959
1,25,-0.03294444,1.379678,0.5751822,-0.1117382,1.232515,0.07172818,-0.03294444,1.379678,0.5751822
1,26,-0.3455743,0.7404896,0.2708135,-0.2033477,1.120591,0.08378834,-0.3455743,0.7404896,0.2708135
1,27,-0.05454814,1.029581,0.6322961,-0.08700489,1.197015,0.09102101,-0.05454814,1.029581,0.6322961
1,28,-0.1003323,1.051678,0.2862718,-0.06887259,1.191313,0.06084275,-0.1003323,1.051678,0.2862718
1,29,0.3102703,1.041882,0.4069312,0.00773282,1.191076,0.06781603,0.3102703,1.041882,0.4069312
1,30,-0.152346,1.263525,0.5366895,-0.1320198,1.220675,0.05678907,-0.152346,1.263525,0.5366895
1,31,0.1236453,1.33907,0.4871464,-0.04465869,1.237011,0.0322732,0.1236453,1.33907,0.4871464
1,32,0.01049852,0.9336112,0.6025075,-0.06873297,1.190588,0.08270884,0.01049852,0.9336112,0.6025075
1,33,0.278286,1.275561,0.1331165,0.01071332,1.228285,-0.005015965,0.278286,1.275561,0.1331165
1,34,-0.4722824,1.046776,0.3870656,-0.2239899,1.186688,0.04537427,-0.4722824,1.046776,0.3870656
1,35,0.1906677,0.8326046,0.1084733,0.09332862,1.089559,0.06911348,0.1906677,0.8326046,0.1084733
1,36,0.333051,1.08229,0.1848269,0.07589504,1.180928,0.01494468,0.333051,1.08229,0.1848269
1,37,0.5318255,1.193801,0.3189944,0.06247655,1.203477,0.01449658,0.5318255,1.193801,0.3189944
1,38,-0.2621328,1.327835,0.4994029,-0.1295883,1.238109,0.009333428,-0.2621328,1.327835,0.4994029
1,39,-0.1697727,0.8521613,0.1201672,-0.09670237,1.095666,0.07224187,-0.1697727,0.8521613,0.1201672
1,40,0.1036965,0.8343142,0.3863586,0.02002266,1.139493,0.05831548,0.1036965,0.8343142,0.3863586
1,41,0.2454759,1.155707,0.5491755,-0.00290807,1.211919,0.04842557,0.2454759,1.155707,0.5491755
1,42,0.02502227,0.8541129,0.6127509,-0.03003472,1.178226,0.1062091,0.02502227,0.8541129,0.6127509
1,43,0.3483266,1.215646,0.4054183,0.02015619,1.217832,0.0130287,0.3483266,1.215646,0.4054183
1,44,-0.1905673,1.297227,0.3672271,-0.1038477,1.228146,-0.01672036,-0.1905673,1.297227,0.3672271
1,45,-0.3940924,0.6943437,0.1368117,-0.2503082,1.079566,0.05011091,-0.3940924,0.6943437,0.1368117
1,46,-0.3087596,0.6180537,0.1261169,-0.22531,1.077125,0.05272834,-0.3087596,0.6180537,0.1261169
1,47,-0.06353581,1.457949,0.2206495,-0.06106582,1.246344,-0.0888119,-0.06353581,1.457949,0.2206495
1,48,0.3596276,1.326485,0.5200973,0.01771576,1.233248,0.01720539,0.3596276,1.326485,0.5200973
1,49,0.05208981,1.208964,0.2705469,-0.003346563,1.220832,0.003225882,0.05208981,1.208964,0.2705469
1,50,0.1886322,1.283521,0.4288876,-3.413111E-05,1.223006,0.0009277675,0.1886322,1.283521,0.4288876
2,51,-0.2196002,0.8340833,0.5245095,-0.1090202,1.157033,0.09986744,-0.2196002,0.8340833,0.5245095
2,52,-0.2206241,1.235742,0.3302778,-0.124886,1.214999,-0.002548846,-0.2206241,1.235742,0.3302778
2,53,-0.5283853,0.9849352,0.2963545,-0.26091,1.164016,-0.003580609,-0.5283853,0.9849352,0.2963545
2,54,-0.03641438,0.9420769,0.4746733,-0.05863819,1.18061,0.03922205,-0.03641438,0.9420769,0.4746733
2,55,0.2490646,0.7015007,0.2655481,0.05123537,1.129106,0.05741968,0.2490646,0.7015007,0.2655481
2,56,-0.3630384,0.8315009,0.4299249,-0.1726353,1.149135,0.1098964,-0.3630384,0.8315009,0.4299249
2,57,0.4871911,1.016057,0.3979454,0.07462568,1.188385,0.02323202,0.4871911,1.016057,0.3979454
2,58,0.05825901,0.9987516,0.2937486,0.02622766,1.173667,0.04593253,0.05825901,0.9987516,0.2937486
2,59,-0.4410689,0.8678561,0.3531086,-0.2361367,1.149774,0.05224287,-0.4410689,0.8678561,0.3531086
2,60,-0.2113562,1.146452,0.3184517,-0.1156816,1.20038,-0.01916475,-0.2113562,1.146452,0.3184517
2,61,-0.1442895,0.8711517,0.5634409,-0.0872434,1.162071,0.1195308,-0.1442895,0.8711517,0.5634409
2,62,-0.4657431,1.126517,0.2257158,-0.2104617,1.188061,-0.04764272,-0.4657431,1.126517,0.2257158
2,63,0.2907735,1.066258,0.4055249,0.02505768,1.181077,0.05431465,0.2907735,1.066258,0.4055249
2,64,0.1555905,1.025267,0.3273267,0.02915465,1.175861,0.05499801,0.1555905,1.025267,0.3273267
2,65,0.1224992,1.597308,0.1438391,-0.08612645,1.250195,-0.1424568,0.1224992,1.597308,0.1438391
2,66,0.1581165,1.022299,0.2060761,0.03961089,1.163801,0.01897931,0.1581165,1.022299,0.2060761
2,67,0.2167294,1.077183,0.4365333,0.0238423,1.186702,0.03596624,0.2167294,1.077183,0.4365333
2,68,0.02160299,0.510259,0.1727294,0.03738594,1.056998,0.03300453,0.02160299,0.510259,0.1727294
2,69,0.2073961,0.8085159,0.3968856,0.005582199,1.156486,-0.0454702,0.2073961,0.8085159,0.3968856
2,70,0.2340302,0.8383549,0.1478041,0.03012881,1.136519,-0.05210724,0.2340302,0.8383549,0.1478041
2,71,-0.07936496,1.000909,0.5420668,-0.1235651,1.183447,-0.04267149,-0.07936496,1.000909,0.5420668
2,72,0.05457604,0.9792782,0.5018272,-0.07611232,1.182144,-0.04279958,0.05457604,0.9792782,0.5018272
2,73,-0.02591169,1.276216,0.4069621,-0.08094023,1.215176,-0.1318798,-0.02591169,1.276216,0.4069621
2,74,0.19767,0.5614685,0.1849573,0.09547416,1.094971,-0.03192639,0.19767,0.5614685,0.1849573
2,75,0.1349946,1.415933,0.2708105,-0.03611729,1.233848,-0.1637153,0.1349946,1.415933,0.2708105
2,76,-0.3249694,1.27305,0.4844845,-0.1635299,1.214272,-0.04017987,-0.3249694,1.27305,0.4844845
2,77,-0.4286477,1.240437,0.3914128,-0.2075476,1.210278,-0.06392161,-0.4286477,1.240437,0.3914128
2,78,0.2533315,1.420393,0.3523497,0.0001854785,1.234046,-0.1004339,0.2533315,1.420393,0.3523497
2,79,-0.5920727,1.160076,0.1381355,-0.2631406,1.184484,-0.2108844,-0.5920727,1.160076,0.1381355
2,80,-0.2483662,1.636095,0.10806,-0.1702641,1.251647,-0.2212913,-0.2483662,1.636095,0.10806
2,81,-0.3778146,1.012328,0.2002454,-0.1627075,1.182195,-0.09478094,-0.3778146,1.012328,0.2002454
2,82,0.1686717,1.309868,0.2221096,-0.02143702,1.219154,-0.1104414,0.1686717,1.309868,0.2221096
2,83,0.3358916,0.9866898,0.2797929,0.01592533,1.17732,-0.08128233,0.3358916,0.9866898,0.2797929
2,84,0.002700448,1.333966,0.1033085,-0.07306743,1.225272,-0.1638466,0.002700448,1.333966,0.1033085
2,85,0.2394025,1.584612,0.2414402,-0.02696839,1.260604,-0.1357358,0.2394025,1.584612,0.2414402
2,86,-0.2512468,0.9222631,0.3791878,-0.1214656,1.166695,-0.02950297,-0.2512468,0.9222631,0.3791878
2,87,-0.1205748,1.604145,0.2953583,-0.1598005,1.249091,-0.1481152,-0.1205748,1.604145,0.2953583
2,88,-0.2200658,0.7663522,0.2689305,-0.1138876,1.143411,-0.03833855,-0.2200658,0.7663522,0.2689305
2,89,-0.1257579,0.905233,0.3090515,-0.08533195,1.161135,-0.05131235,-0.1257579,0.905233,0.3090515
2,90,0.5384756,0.9531887,0.2485209,0.09145341,1.150938,-0.04416882,0.5384756,0.9531887,0.2485209
2,91,-0.05893785,1.479657,0.3150306,-0.1055815,1.240407,-0.1581938,-0.05893785,1.479657,0.3150306
2,92,-0.07406223,0.7998973,0.2598472,-0.06010425,1.145854,-0.05114571,-0.07406223,0.7998973,0.2598472
2,93,-0.03488475,1.570862,0.2291935,-0.1070075,1.246478,-0.1809514,-0.03488475,1.570862,0.2291935
2,94,-0.3042533,0.9281577,0.2004395,-0.1300928,1.164861,-0.09048525,-0.3042533,0.9281577,0.2004395
2,95,-0.2858208,1.17432,0.2716641,-0.1391051,1.205221,-0.1312393,-0.2858208,1.17432,0.2716641
2,96,0.1313164,1.127114,0.2857811,-0.03093271,1.19825,-0.11575,0.1313164,1.127114,0.2857811
2,97,0.3821646,1.141249,0.5418999,0.03297386,1.204014,-0.006451713,0.3821646,1.141249,0.5418999
2,98,0.1819724,1.254965,0.4146933,0.0004035346,1.217921,-0.06121138,0.1819724,1.254965,0.4146933
2,99,0.07065439,0.6483812,0.1877654,-0.01919433,1.098153,-0.04415734,0.07065439,0.6483812,0.1877654
2,100,0.006795526,1.40187,0.4788643,-0.08429194,1.238217,-0.0724303,0.006795526,1.40187,0.4788643
3,101,0.09453833,1.060476,0.2892144,-0.01681635,1.1882,-0.07943991,0.09453833,1.060476,0.2892144
