Round,Case,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,TargetX,TargetY,TargetZ
1,1,0.09925764,0.8736672,0.1268007,0.09925764,0.8736672,0.1268007,0.08046195,0.8907878,0.1270363,0.06127652,0.9064963,0.1253616,0.03402648,0.9235994,0.130053,0.01066738,0.9380055,0.1497707,0.05723638,0.959059,0.1544756,0.03099272,0.9771741,0.1750083,0.01179416,0.9859639,0.1870424,0.06435266,0.9495983,0.173425,0.02236073,0.9484575,0.1822625,0.0197949,0.9277909,0.1642267,0.06521371,0.9331423,0.1861132,0.02644678,0.9296274,0.1884507,0.02490125,0.9120193,0.1686086,0.08162011,0.8860025,0.1630696,0.06422206,0.9133196,0.1952418,0.03369202,0.9129874,0.1918436,0.0290283,0.9012403,0.1759437,-0.005694568,0.9447647,0.1668824,-0.003952548,0.9948611,0.2002386,0.03870064,0.9207533,0.1494728,0.04503649,0.9066844,0.1559388,0.04550948,0.8951676,0.1627671,-0.1085629,1.310431,0.4447535
1,1,0.09924097,0.8745142,0.1272033,0.09924097,0.8745142,0.1272033,0.08033749,0.8915161,0.1274058,0.06106672,0.907113,0.1256689,0.03373954,0.9241073,0.1303066,0.01041449,0.9384366,0.1501203,0.05680043,0.9598281,0.1544757,0.03059081,0.9780096,0.1749931,0.01141186,0.9868121,0.1870493,0.06406274,0.9505454,0.1734577,0.02211939,0.9492153,0.1824971,0.01958176,0.9283993,0.16463,0.06508637,0.9341841,0.1862559,0.0263546,0.9304215,0.1887829,0.02485296,0.9126714,0.1690642,0.0816893,0.88699,0.1634658,0.06426278,0.9144198,0.1955265,0.03372541,0.913832,0.1922302,0.02912958,0.9019371,0.1764207,-0.005859196,0.945138,0.1673386,-0.004309192,0.9957488,0.2002493,0.03843839,0.9213365,0.1498252,0.04495693,0.9073729,0.1563297,0.04560607,0.8958955,0.1632239,-0.1085629,1.310431,0.4447535
1,1,0.09932343,0.8759431,0.1273314,0.09932343,0.8759431,0.1273314,0.08032615,0.8928409,0.1274449,0.06099307,0.9083463,0.1255853,0.03356824,0.9252257,0.1300635,0.01017291,0.9394011,0.1499051,0.05636679,0.9611124,0.154245,0.0301073,0.9794226,0.1745835,0.01089925,0.9882916,0.1865442,0.06364796,0.9519337,0.1732704,0.02169123,0.950421,0.1822185,0.01927889,0.929504,0.1644524,0.06474008,0.9356215,0.1861253,0.02602595,0.9316234,0.1885593,0.02467788,0.9137877,0.168907,0.0816417,0.8884434,0.1635222,0.06400976,0.9158841,0.195461,0.03349607,0.9150256,0.1920087,0.02911526,0.9030278,0.1762159,-0.006119065,0.9459904,0.1671492,-0.004844949,0.9973174,0.1996558,0.03817631,0.9224319,0.1497042,0.04481093,0.9085195,0.1562058,0.04565663,0.8970388,0.1630765,-0.1085629,1.310431,0.4447535
1,1,0.09941594,0.8765258,0.1271181,0.09941594,0.8765258,0.1271181,0.08040883,0.8934128,0.1271861,0.06107081,0.9089068,0.1252833,0.03361315,0.925751,0.1296922,0.01014546,0.9398623,0.1494939,0.0563175,0.9616377,0.1539865,0.03000276,0.9800249,0.1741836,0.01076847,0.9889547,0.1860567,0.06353745,0.9524397,0.1730258,0.0215442,0.9508954,0.1817955,0.01921064,0.9299778,0.1640194,0.06459397,0.9361122,0.1858644,0.02587326,0.9320775,0.1881272,0.02460362,0.9142447,0.168467,0.08160102,0.8889715,0.1632623,0.06384227,0.9163629,0.1951732,0.03335115,0.9154369,0.1915435,0.02908954,0.9034368,0.1757198,-0.006222919,0.9464195,0.1666779,-0.004997998,0.9980455,0.1990964,0.03817322,0.9229193,0.1493486,0.04477238,0.9089689,0.1558258,0.04567537,0.8974605,0.1626308,-0.1085629,1.310431,0.4447535
1,1,0.09943983,0.8768893,0.126722,0.09943983,0.8768893,0.126722,0.08044675,0.8937915,0.1268776,0.06112654,0.9093164,0.1250475,0.03368118,0.9261618,0.1295279,0.01023172,0.940133,0.1494503,0.05638988,0.9618714,0.1540748,0.0301585,0.9802961,0.174346,0.01098364,0.9892858,0.1862698,0.06358624,0.9525511,0.1730635,0.02157487,0.9509463,0.181735,0.01929495,0.9301301,0.1638334,0.06461839,0.9361445,0.1858028,0.0258951,0.9320685,0.1879443,0.02466422,0.914351,0.1681776,0.08160505,0.8891287,0.1629269,0.06384244,0.9163393,0.19499,0.03336184,0.9154122,0.1912732,0.02917127,0.9035013,0.1753634,-0.006126456,0.9465706,0.1666891,-0.004701138,0.9984347,0.1993673,0.03829259,0.9231614,0.149165,0.0448349,0.9091249,0.1555188,0.04577674,0.8976027,0.162264,-0.1085629,1.310431,0.4447535
1,1,0.09938806,0.8776613,0.1260338,0.09938806,0.8776613,0.1260338,0.08037974,0.8945447,0.1263173,0.06105381,0.9100744,0.1245909,0.03359602,0.9268715,0.1291751,0.01016808,0.940578,0.1493055,0.05624222,0.9623727,0.1540669,0.03016248,0.9808797,0.1744585,0.01111244,0.9899962,0.1864855,0.06343319,0.9528998,0.172982,0.02139685,0.9510806,0.1814885,0.01928072,0.9303983,0.1634125,0.06447083,0.9363879,0.185584,0.02575691,0.9321252,0.1875216,0.02464306,0.9145647,0.1676085,0.08151613,0.8895807,0.162327,0.06370597,0.9165056,0.1946042,0.03324484,0.9154915,0.1907529,0.02921064,0.9036914,0.1747206,-0.006166846,0.9467989,0.1666457,-0.00439322,0.9992847,0.1996975,0.03836062,0.9236144,0.1487643,0.04482101,0.9094476,0.1549168,0.04586239,0.897946,0.1616119,-0.1085629,1.310431,0.4447535
1,1,0.09930745,0.8782298,0.1255904,0.09930745,0.8782298,0.1255904,0.08026746,0.8950762,0.1259427,0.06092023,0.9105847,0.1242657,0.03343956,0.927331,0.1288989,0.01003775,0.9408327,0.1491974,0.05600078,0.9627426,0.1539728,0.03007813,0.9813876,0.1744388,0.01116858,0.9906721,0.1865588,0.06320816,0.9532045,0.1728489,0.02115366,0.9511438,0.1812093,0.01924084,0.930524,0.1630394,0.06427589,0.9366421,0.185382,0.02557976,0.9321483,0.1871448,0.02459958,0.9146655,0.1671564,0.08141062,0.8899643,0.1619315,0.0635477,0.916721,0.1943193,0.03310475,0.9155777,0.1903619,0.02923106,0.9038212,0.1742581,-0.006262898,0.9468904,0.1666273,-0.004131809,1.000153,0.1998727,0.03841256,0.9239004,0.1484378,0.04478375,0.9096313,0.1544415,0.04593347,0.8981993,0.1611603,-0.1085629,1.310431,0.4447535
1,1,0.09911355,0.8786014,0.1252063,0.09911355,0.8786014,0.1252063,0.08014309,0.8955257,0.1255778,0.06087978,0.9111369,0.1238875,0.0334925,0.9280443,0.1284881,0.01013003,0.9415876,0.1488043,0.05609128,0.9631851,0.1538092,0.03020219,0.9818845,0.174268,0.01129358,0.9912044,0.1863623,0.06321359,0.9535449,0.1726657,0.02113209,0.9516454,0.1809279,0.01913398,0.9310973,0.1626862,0.06418227,0.9369304,0.1851378,0.0254642,0.9325864,0.1867913,0.02446067,0.9151898,0.166729,0.08117864,0.8902715,0.1615494,0.06334968,0.9169785,0.1939968,0.03290792,0.9159997,0.1899865,0.02902369,0.9043217,0.1738283,-0.006112956,0.9476063,0.1663014,-0.004024573,1.000689,0.1996537,0.03829214,0.924422,0.1480903,0.04466069,0.9101335,0.1540481,0.04572096,0.8986696,0.1607369,-0.1085629,1.310431,0.4447535
1,1,0.09904554,0.8786191,0.1250471,0.09904554,0.8786191,0.1250471,0.08013493,0.8956096,0.125443,0.06091398,0.9112773,0.1237932,0.03358899,0.9282675,0.1284587,0.01033116,0.9419059,0.1488311,0.05639476,0.963397,0.1536312,0.03069426,0.9823101,0.1741314,0.0118715,0.9917592,0.1862592,0.063535,0.9537622,0.1724836,0.02147278,0.9520847,0.1808908,0.01932499,0.9314964,0.1627115,0.06448011,0.9371644,0.1849797,0.02574888,0.9329988,0.1867774,0.02461602,0.9155647,0.1667546,0.08125034,0.8904093,0.1614201,0.06360255,0.9172297,0.193873,0.03314197,0.9163756,0.1899787,0.02916898,0.9046909,0.173847,-0.005730078,0.9478977,0.1665044,-0.003364533,1.00135,0.1995682,0.03841016,0.9246994,0.1480762,0.04475329,0.9103951,0.1540197,0.04580005,0.8989567,0.1607072,-0.1085629,1.310431,0.4447535
1,1,0.09897173,0.8786503,0.1249013,0.09897173,0.8786503,0.1249013,0.08011324,0.8956981,0.1253221,0.0609277,0.9114133,0.123713,0.03365614,0.9284714,0.1284426,0.01049425,0.9421896,0.1488708,0.05665033,0.963597,0.153474,0.03113618,0.9827154,0.1740164,0.01239476,0.9922842,0.1861763,0.06381103,0.953968,0.1723216,0.0217708,0.9525058,0.1808776,0.01947715,0.9318779,0.1627611,0.06473912,0.9373855,0.1848392,0.02599785,0.9333761,0.1867709,0.02475171,0.9159067,0.1667855,0.08130732,0.8905463,0.1613036,0.06382512,0.9174663,0.1937637,0.03334751,0.9167228,0.1899816,0.02929509,0.9050326,0.1738736,-0.005369313,0.948125,0.1667406,-0.002763622,1.001975,0.1995021,0.03848969,0.9249644,0.148086,0.0448318,0.9106373,0.1540014,0.04586511,0.899228,0.1606877,-0.1085629,1.310431,0.4447535
1,1,0.09889918,0.878749,0.1246894,0.09889918,0.878749,0.1246894,0.08015841,0.8959273,0.125061,0.06107379,0.9117613,0.1234168,0.03388857,0.9289659,0.128113,0.01082076,0.9428993,0.1485019,0.05721211,0.9641218,0.1529225,0.03199925,0.9837222,0.1733826,0.01339456,0.993595,0.1855094,0.06434178,0.9545363,0.1718041,0.02232861,0.9535919,0.1805634,0.01972903,0.932864,0.162603,0.06517974,0.9380092,0.1844011,0.02641193,0.9343497,0.1864885,0.02496291,0.9167836,0.1666019,0.08138393,0.8909433,0.1610651,0.06414622,0.9181406,0.1934246,0.03364576,0.9176514,0.1897882,0.02947352,0.905932,0.173732,-0.004809402,0.9488398,0.1665745,-0.00164146,1.003545,0.1987824,0.03859268,0.9256359,0.1478873,0.04494937,0.9112661,0.1537757,0.04593264,0.8999389,0.1604916,-0.1085629,1.310431,0.4447535
1,1,0.09889761,0.8788041,0.1246212,0.09889761,0.8788041,0.1246212,0.08021157,0.896043,0.1249335,0.0611852,0.9119399,0.1232218,0.0340188,0.9291987,0.1278269,0.0109353,0.943237,0.148126,0.05746572,0.9643871,0.1525923,0.03235187,0.9842305,0.1729396,0.01379977,0.9942704,0.1850096,0.06455285,0.954831,0.1715047,0.02254616,0.9541472,0.1803192,0.01979822,0.9333727,0.1624349,0.06533009,0.9383361,0.1841477,0.02654853,0.9348363,0.1862539,0.02501859,0.9172233,0.1664149,0.08139852,0.8911545,0.1609519,0.06422743,0.9184959,0.1932254,0.03372119,0.9181298,0.1896231,0.02951707,0.9063957,0.173586,-0.004679352,0.9492261,0.1661959,-0.00119359,1.004365,0.1982214,0.03858545,0.9259691,0.1477087,0.04497039,0.9115816,0.1535887,0.04592724,0.9003054,0.1603292,-0.1085629,1.310431,0.4447535
