Round,Case,LocalTargetX,LocalTargetY,LocalTargetZ,HeadX,HeadY,HeadZ,TargetX,TargetY,TargetZ
1,1,-0.4584052,1.370587,0.5484329,-0.2017573,1.22907,0.01074261,-0.4584052,1.370587,0.5484329
1,2,-0.435072,1.052261,0.5865414,-0.1804536,1.199078,0.01029284,-0.435072,1.052261,0.5865414
1,3,-0.02198118,1.213288,0.4407185,-0.06008809,1.202534,-0.01778356,-0.02198118,1.213288,0.4407185
1,4,-0.06941709,0.6299983,0.3001951,-0.0654537,1.124457,0.02892394,-0.06941709,0.6299983,0.3001951
1,5,-0.3767043,1.323118,0.556293,-0.1913243,1.219884,0.01185025,-0.3767043,1.323118,0.556293
1,6,-0.2668012,0.5020258,0.3127664,-0.1350233,1.126298,0.04732632,-0.2668012,0.5020258,0.3127664
1,7,-0.2794091,1.263206,0.3213668,-0.09429477,1.212085,-0.06616168,-0.2794091,1.263206,0.3213668
1,8,-0.4454293,0.8348315,0.4835446,-0.1867819,1.163846,0.00220051,-0.4454293,0.8348315,0.4835446
1,9,0.1884515,0.5562985,0.4109329,0.01988667,1.124107,0.06980585,0.1884515,0.5562985,0.4109329
1,10,-0.2057536,1.212887,0.4102073,-0.0863701,1.206618,-0.0139558,-0.2057536,1.212887,0.4102073
1,11,-0.3960495,0.9716007,0.5012437,-0.1712254,1.177491,0.01101435,-0.3960495,0.9716007,0.5012437
1,12,0.01126349,1.488818,0.4604202,-0.05672918,1.237956,-0.0433196,0.01126349,1.488818,0.4604202
1,13,0.06536657,0.7767922,0.3106391,-0.01160653,1.136841,0.03139017,0.06536657,0.7767922,0.3106391
1,14,0.4589465,0.8981013,0.438091,0.03487611,1.162078,0.0289583,0.4589465,0.8981013,0.438091
1,15,-0.3060873,1.203844,0.5883123,-0.1290116,1.212721,-0.01745848,-0.3060873,1.203844,0.5883123
1,16,-0.2647489,1.169946,0.30315,-0.1184264,1.200366,-0.0169101,-0.2647489,1.169946,0.30315
1,17,-0.3337568,0.602792,0.3286837,-0.1902026,1.095974,0.06417249,-0.3337568,0.602792,0.3286837
1,18,-0.05609727,0.7622591,0.3216329,-0.05222751,1.148961,0.0134943,-0.05609727,0.7622591,0.3216329
1,19,-0.2132081,0.8151454,0.5059695,-0.1073591,1.156015,0.05272298,-0.2132081,0.8151454,0.5059695
1,20,0.1623149,0.6611017,0.458462,-0.002945952,1.141274,0.05293103,0.1623149,0.6611017,0.458462
1,21,-0.3069476,1.448608,0.4698033,-0.1384308,1.236883,-0.02668929,-0.3069476,1.448608,0.4698033
1,22,0.1874487,1.157016,0.503118,-0.009206273,1.193283,-0.0008219681,0.1874487,1.157016,0.503118
1,23,-0.2960281,0.5096571,0.5648741,-0.2102651,1.057113,0.2036128,-0.2960281,0.5096571,0.5648741
1,24,-0.4657219,1.142191,0.4596348,-0.1702167,1.200943,-0.02491018,-0.4657219,1.142191,0.4596348
1,25,-0.3512201,0.8680633,0.5451664,-0.1556069,1.163857,0.03339803,-0.3512201,0.8680633,0.5451664
1,26,0.3533369,1.225037,0.4617372,0.01140204,1.199473,0.003065873,0.3533369,1.225037,0.4617372
1,27,-0.3458005,0.7712669,0.4098099,-0.1996832,1.126549,0.05683738,-0.3458005,0.7712669,0.4098099
1,28,0.1880352,0.911119,0.4670582,0.001470942,1.164912,0.03005381,0.1880352,0.911119,0.4670582
1,29,-0.2097724,0.5733973,0.5099421,-0.1569988,1.073108,0.1718795,-0.2097724,0.5733973,0.5099421
1,30,-0.1753229,1.279418,0.3103783,-0.07230115,1.21963,-0.07122399,-0.1753229,1.279418,0.3103783
1,31,-0.4808045,1.275964,0.4688644,-0.1944935,1.209461,-0.04118862,-0.4808045,1.275964,0.4688644
1,32,0.02218503,1.047614,0.4805067,-0.02955781,1.172669,0.01755394,0.02218503,1.047614,0.4805067
1,33,-0.008707941,0.6586651,0.3457664,-0.04183475,1.133783,0.04190037,-0.008707941,0.6586651,0.3457664
1,34,0.4147086,1.170632,0.5261569,0.01876567,1.193063,0.008908078,0.4147086,1.170632,0.5261569
1,35,-0.3013562,1.298744,0.4127254,-0.1046718,1.218897,-0.05510857,-0.3013562,1.298744,0.4127254
1,36,0.09816909,0.9095571,0.4174134,-0.02892069,1.158785,0.02225463,0.09816909,0.9095571,0.4174134
1,37,0.4764081,0.6874951,0.4582893,0.07389637,1.155329,0.02470686,0.4764081,0.6874951,0.4582893
1,38,0.1471889,1.104806,0.3039671,0.0020984,1.182231,-0.001602321,0.1471889,1.104806,0.3039671
1,39,0.4391928,0.7476947,0.4985784,0.04003095,1.155046,0.04578959,0.4391928,0.7476947,0.4985784
1,40,0.2820371,1.105395,0.3010362,0.004206933,1.185657,-0.00995477,0.2820371,1.105395,0.3010362
1,41,0.3086495,0.9663724,0.5782207,0.01735767,1.177346,0.0384067,0.3086495,0.9663724,0.5782207
1,42,-0.160851,1.07444,0.338842,-0.07553368,1.185899,-0.004621409,-0.160851,1.07444,0.338842
1,43,0.2885652,0.8314126,0.3264185,0.01841252,1.153187,0.02149488,0.2885652,0.8314126,0.3264185
1,44,-0.221928,0.9979731,0.3285653,-0.08860283,1.172729,-0.01402512,-0.221928,0.9979731,0.3285653
1,45,-0.430733,0.9089718,0.446665,-0.1481459,1.177992,-0.000750972,-0.430733,0.9089718,0.446665
1,46,-0.2763018,0.6773767,0.3534278,-0.1535895,1.115006,0.06159444,-0.2763018,0.6773767,0.3534278
1,47,0.1776996,1.313984,0.4928401,-0.01053628,1.211514,-0.01942266,0.1776996,1.313984,0.4928401
1,48,0.1164736,1.086922,0.4550046,-0.02076292,1.174525,0.009978043,0.1164736,1.086922,0.4550046
1,49,-0.02312386,1.11975,0.4092904,-0.04688843,1.187049,-0.002112892,-0.02312386,1.11975,0.4092904
1,50,-0.1837413,0.7431722,0.4819997,-0.1039236,1.146437,0.05269655,-0.1837413,0.7431722,0.4819997
2,51,-0.1904848,1.492403,0.4027075,-0.09135187,1.232994,-0.1041507,-0.1904848,1.492403,0.4027075
2,52,0.4299181,0.6599498,0.5177348,0.08590358,1.136936,0.07490435,0.4299181,0.6599498,0.5177348
2,53,0.2030208,1.362778,0.3320962,-0.009837795,1.218902,-0.03753345,0.2030208,1.362778,0.3320962
2,54,0.06843919,0.6437384,0.3912412,-0.02641902,1.122862,0.05558694,0.06843919,0.6437384,0.3912412
2,55,0.2626808,0.8033549,0.3964233,-0.002139799,1.144779,0.02238772,0.2626808,0.8033549,0.3964233
2,56,-0.3808464,0.7320835,0.4060429,-0.1977162,1.12403,0.03495199,-0.3808464,0.7320835,0.4060429
2,57,0.3719393,1.423384,0.4740949,0.01023093,1.219395,-0.01135749,0.3719393,1.423384,0.4740949
2,58,0.002697229,0.9302083,0.4138224,-0.03609052,1.154473,0.02007193,0.002697229,0.9302083,0.4138224
2,59,-0.4753973,1.443155,0.4763779,-0.2232615,1.229111,-0.05533195,-0.4753973,1.443155,0.4763779
