Round,Case,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ,HeadMovementDirectionX,HeadMovementDirectionY,HeadMovementDirectionZ,HeadX,HeadY,HeadZ,HeadDrectionX,HeadDrectionY,HeadDrectionZ,LocalTargetX,LocalTargetY,LocalTargetZ
1,1,-0.03250001,0,0,0.1732229,0.06361851,-0.01121348,0.1211588,-0.3419004,0.9318931,-0.01494699,1.198624,-0.05546833,-0.05066896,-0.2254077,0.972946,0.3508068,1.440889,0.3158459
1,1,-0.0325,0,0,0.1754668,0.06524239,-0.01165472,0.1240789,-0.346226,0.9299096,-0.01507149,1.199142,-0.05586503,-0.05233313,-0.2226582,0.9734909,0.3508068,1.440889,0.3158459
1,1,-0.03250001,2.384186E-07,-2.980232E-08,0.1754668,0.06524239,-0.01165472,0.1240789,-0.3462259,0.9299097,-0.01527741,1.199435,-0.05639309,-0.05398849,-0.2206635,0.9738547,0.3508068,1.440889,0.3158459
1,1,-0.0325,0,0,0.176827,0.06526029,-0.01175123,0.1240161,-0.348824,0.9289466,-0.01527736,1.199421,-0.05676849,-0.05486114,-0.2207488,0.9737865,0.3508068,1.440889,0.3158459
1,1,-0.03249999,1.192093E-07,-2.980232E-08,0.176827,0.06526028,-0.01175123,0.1240161,-0.3488241,0.9289466,-0.01528181,1.199508,-0.0572653,-0.05629788,-0.2216992,0.9734886,0.3508068,1.440889,0.3158459
1,1,-0.0325,1.192093E-07,0,0.1767388,0.0668272,-0.01202852,0.1269852,-0.3486919,0.928595,-0.01531981,1.199665,-0.05747337,-0.05680048,-0.2209966,0.9736192,0.3508068,1.440889,0.3158459
1,1,-0.0325,0,-2.980232E-08,0.1767389,0.0668272,-0.01202853,0.1269851,-0.348692,0.928595,-0.01529841,1.19975,-0.05769793,-0.0569288,-0.2202925,0.9737712,0.3508068,1.440889,0.3158459
1,1,-0.0325,2.384186E-07,-2.980232E-08,0.1819123,0.06705036,-0.01243419,0.1270219,-0.3585602,0.9248243,-0.01517474,1.199843,-0.05816452,-0.0577778,-0.219344,0.9739353,0.3508068,1.440889,0.3158459
1,1,-0.03250001,-1.192093E-07,-5.960464E-08,0.181859,0.06795522,-0.012599,0.1287311,-0.3584807,0.9246188,-0.01511651,1.199899,-0.0584121,-0.05807716,-0.2190382,0.9739863,0.3508068,1.440889,0.3158459
1,1,-0.03250001,-1.192093E-07,5.960464E-08,0.181859,0.0679552,-0.012599,0.1287311,-0.3584807,0.9246188,-0.01499519,1.200077,-0.05888534,-0.05874327,-0.217625,0.9742631,0.3508068,1.440889,0.3158459
1,1,-0.03249325,1.835823E-05,-2.086163E-06,0.1847118,0.07114908,-0.01340861,0.1345161,-0.3639884,0.9216387,-0.014934,1.200283,-0.05907637,-0.05948418,-0.2156017,0.9746679,0.3508068,1.440889,0.3158459
1,1,-0.0325,-1.192093E-07,0,0.1809679,0.07105339,-0.01310968,0.1346379,-0.356861,0.924404,-0.01493405,1.200567,-0.05924745,-0.06063449,-0.2133959,0.9750824,0.3508068,1.440889,0.3158459
1,1,-0.0325,-1.192093E-07,2.980232E-08,0.1809679,0.0710534,-0.01310968,0.134638,-0.3568611,0.924404,-0.01532609,1.201241,-0.05946783,-0.06388,-0.2088129,0.975867,0.3508068,1.440889,0.3158459
1,1,-0.0325,-1.192093E-07,5.960464E-08,0.1846625,0.07427711,-0.01399767,0.1403973,-0.3639778,0.9207653,-0.01574381,1.201403,-0.05975463,-0.06705541,-0.2074912,0.9759359,0.3508068,1.440889,0.3158459
1,1,-0.0325,0,0,0.1799137,0.07502011,-0.01376247,0.1421955,-0.3549551,0.9240061,-0.01721578,1.202275,-0.06022427,-0.08003279,-0.2042232,0.9756473,0.3508068,1.440889,0.3158459
1,1,-0.0325,-1.192093E-07,2.980232E-08,0.1799136,0.0750201,-0.01376246,0.1421955,-0.354955,0.9240062,-0.01827645,1.203368,-0.06020067,-0.09110232,-0.1981319,0.9759324,0.3508068,1.440889,0.3158459
1,1,-0.03250001,-1.192093E-07,-2.980232E-08,0.1799869,0.07388522,-0.01355875,0.140052,-0.3550646,0.9242914,-0.02122103,1.208098,-0.05976525,-0.1201224,-0.1653439,0.9788933,0.3508068,1.440889,0.3158459
1,1,-0.03250001,0,-1.490116E-08,0.1799869,0.07388522,-0.01355875,0.140052,-0.3550646,0.9242914,-0.02322986,1.211514,-0.0593724,-0.1402041,-0.1335907,0.981069,0.3508068,1.440889,0.3158459
1,1,-0.0325,1.192093E-07,0,0.08418182,-0.0113729,0.0009608648,-0.0225018,-0.1677769,0.9855682,-0.02507414,1.214259,-0.05987364,-0.1587243,-0.1074493,0.9814587,0.3508068,1.440889,0.3158459
1,1,-0.03250001,0,1.490116E-08,0.08418183,-0.0113729,0.0009608651,-0.02250181,-0.1677769,0.9855682,-0.02828097,1.218491,-0.06169494,-0.1938527,-0.06566703,0.9788304,0.3508068,1.440889,0.3158459
1,1,-0.03249998,-1.192093E-07,0,-0.08814826,-0.07737449,-0.006867995,-0.1524664,0.1761383,0.9724861,-0.02998428,1.220532,-0.06286159,-0.2098513,-0.04583066,0.9766586,0.3508068,1.440889,0.3158459
1,1,-0.0325,0,-7.450581E-09,-0.1122993,-0.07765692,-0.008803604,-0.151876,0.2238538,0.9627165,-0.0327897,1.224796,-0.06508985,-0.241809,-0.009063909,0.9702815,0.3508068,1.440889,0.3158459
1,1,-0.0325,-1.192093E-07,7.450581E-09,-0.1122993,-0.07765694,-0.008803606,-0.1518761,0.2238538,0.9627165,-0.03407028,1.226642,-0.06616789,-0.2552285,0.004163889,0.9668718,0.3508068,1.440889,0.3158459
1,1,-0.03249999,-2.384186E-07,-7.450581E-09,-0.1126902,-0.06802864,-0.007733687,-0.1331263,0.2244647,0.965346,-0.03625146,1.229506,-0.06816359,-0.2775396,0.02848667,0.9602917,0.3508068,1.440889,0.3158459
1,1,-0.03249999,0,-7.450581E-09,-0.08573582,-0.05186441,-0.004469175,-0.1024394,0.1710705,0.9799189,-0.03692657,1.230964,-0.06910177,-0.2863869,0.03772035,0.9573712,0.3508068,1.440889,0.3158459
1,1,-0.0325,0,-7.450581E-09,-0.08573583,-0.0518644,-0.004469174,-0.1024394,0.1710705,0.9799189,-0.03767606,1.232306,-0.07000651,-0.2936935,0.046792,0.9547537,0.3508068,1.440889,0.3158459
1,1,-0.03251841,-2.992153E-05,1.8619E-05,-0.06824295,-0.02669575,-0.001826711,-0.05299855,0.1362163,0.9892605,-0.03889237,1.234602,-0.07182746,-0.3051065,0.06318815,0.9502196,0.3508068,1.440889,0.3158459
1,1,-0.0325,0,0,-0.06849281,-0.02710911,-0.00186184,-0.05381577,0.1367142,0.9891477,-0.03934716,1.235501,-0.07266483,-0.309227,0.06929351,0.9484604,0.3508068,1.440889,0.3158459
